,NSE
76673,0.5350388586521149
70486,0.2640061378479004
75225,-0.4284305572509765
1576,0.1249616146087646
77140,0.0795938372611999
10015,0.664802610874176
75463,-0.0686486959457397
10387,0.5301015675067902
75728,0.092517077922821
75238,-0.0327755212783813
11801,0.9075636193156242
10231,0.6514161825180054
78801,-0.0605965852737426
5607,0.0611736178398132
10240,0.4768076539039612
7185,0.4153304696083069
8013,-0.7876126766204834
10566,0.383398950099945
72155,-0.0328638553619384
71268,0.4397043585777282
77250,-1.458536148071289
3085,0.7091362774372101
48075,0.5709998309612274
10075,0.3448494672775268
19087,0.1630132794380188
10328,0.5616139471530914
75674,0.493401825428009
72459,-0.1974258422851562
84243,0.8509761989116669
10044,0.7830214202404022
76256,0.3251590132713318
84185,-2.427562952041626
72752,-0.1537076234817505
5250,0.4939587116241455
3014,0.394339382648468
84179,-0.4341344833374023
71186,0.2503002882003784
76533,-0.4885967969894409
5262,0.4350476861000061
76180,0.4587284326553345
8403,0.5522251427173615
10323,0.2990844845771789
6506,0.3016645312309265
84233,0.8616957515478134
75106,0.0321722626686096
9337,0.5922497510910034
3159,0.5757699310779572
11353,-0.8201357126235962
78277,-0.3451493978500366
76652,0.386534035205841
70117,0.2131788730621338
10392,-0.4403828382492065
10349,0.4132177829742431
9385,0.4006999731063843
5336,0.6837900578975677
9333,0.6551238298416138
80230,0.0889560580253601
76295,0.4871493577957153
7202,0.12671560049057
72083,0.2528693675994873
75203,0.3400225043296814
80220,-1.1145973205566406
5074,0.3412687182426452
19123,0.1893282532691955
10385,0.4056708812713623
75326,-0.913970708847046
83174,-0.5376859903335571
12061,0.2822728157043457
71277,0.3363867998123169
76500,-0.8338390588760376
75361,-1.1845436096191406
12430,0.407352089881897
11634,-0.3899456262588501
72654,0.2090969085693359
78614,-0.2890785932540893
19382,0.5072962641716003
3074,0.3799648880958557
7024,0.5171293318271637
77179,0.1675395965576172
75520,0.4390405416488647
49070,-0.1433691978454589
48056,0.3737739324569702
77270,-4.130202293395996
75209,0.3462141752243042
72148,-0.0295755863189697
72043,0.2022296786308288
11334,0.436455488204956
75367,-1.1821513175964355
72064,0.0327696204185485
12043,-0.0805220603942871
19092,0.2649782299995422
7060,0.5360069572925568
75453,-0.0814839601516723
9279,0.3283331990242004
72281,-0.1963156461715698
7041,0.6877515316009521
75266,0.1215423941612243
3147,0.6865473687648773
76325,0.5275468528270721
10216,0.6120416522026062
19050,0.1115816831588745
19127,-230.1367950439453
75291,0.1990342140197754
72450,-0.6112974882125854
76284,0.4728395342826843
80160,-8.048991203308105
70011,0.283647358417511
70382,0.4508674740791321
7003,0.0327606201171875
72585,0.1409842371940612
76650,0.4402811527252197
70246,0.3565478324890136
12127,0.1156098246574401
19039,0.1446428298950195
8384,0.1538622975349426
77197,0.2126553654670715
4071,0.2974321246147156
48091,0.0081996321678161
10468,0.5502254962921143
2180,0.1579028367996215
70533,0.4173915982246399
12611,0.490144670009613
2152,0.6733715832233429
70601,0.1213640570640564
10379,0.4516367316246032
12014,0.5731100142002106
75110,-0.0352699756622314
83350,0.1318406462669372
1151,0.3718529343605041
76130,0.3363595604896545
72660,0.2067996263504028
84400,-10.376800537109377
9355,0.3223546743392944
75648,-0.0696638822555542
9383,0.3776808381080627
6089,0.3966468572616577
70206,0.4553236365318298
1566,0.2791047096252441
3248,0.3009666800498962
70499,0.4796868562698364
6473,0.2662496566772461
70609,0.3626490235328674
78502,0.3996840715408325
78111,-0.0596010684967041
70284,0.3207658529281616
3577,0.6478938162326813
4105,0.1087046861648559
2229,0.4241572618484497
75402,-0.0996644496917724
75271,-0.3386807441711426
77115,0.0630508065223693
10048,0.4821125268936157
5555,0.140126883983612
19049,-0.1763229370117187
6345,0.388123869895935
80197,0.2336971163749694
78017,-0.5204474925994873
48038,0.4716444015502929
5105,0.3029158115386963
4036,0.2733577489852905
11556,0.4714918136596679
7130,0.5565899312496185
10073,0.6115358173847198
8254,0.5119112730026245
76089,0.4157052040100097
7004,0.2987486124038696
5383,0.494816780090332
77152,-0.1206865310668945
5292,0.3000419735908508
3017,0.33173269033432
78054,-2.7039437294006348
77124,0.3263586759567261
10184,0.2765034437179565
8361,0.3846266865730285
9356,0.3577260375022888
