,NSE,KGE,r,alpha,beta,RMSE,delta
75682,0.768336296081543,0.5825912158416522,0.8956447,1.4002521,1.0560207,0.8983301,-51.145657
75687,0.6721918284893036,0.6936608141133611,0.82290345,1.2145387,1.1282718,0.69363064,-49.488163
75699,0.27473223209381104,0.5657117253867543,0.8643825,0.67343867,0.7478653,0.38342795,-40.23537
75710,0.7847338169813156,0.7000920842886309,0.8942883,1.2598642,1.1060207,0.35819814,-20.43043
75727,0.0185890793800354,0.5020124256399701,0.83700323,0.6306147,0.70848984,0.5362472,-38.592148
75728,0.6392916142940521,0.8049224065239268,0.8510446,0.87554115,0.98056936,0.4706189,-27.197153
75740,0.43615198135375977,0.686594041622151,0.84255904,0.86789346,0.7633917,0.1267751,-40.078365
75749,0.5336340665817261,0.4153852514272731,0.8429159,1.2281655,1.5148199,0.4138625,32.178284
75751,0.32737576961517334,0.6719157865566904,0.76931864,0.7830292,0.9142735,0.5389371,-6.408921
75752,0.4218970537185669,0.7191655788821745,0.7541027,0.92206275,0.8889672,0.11470325,-13.38826
75772,0.3462620973587036,0.6369581783209852,0.82348055,0.7243453,1.1570183,0.623537,22.875717
75776,0.4059641361236572,0.7183014343522135,0.75776666,0.8562047,0.99996483,0.6489879,-2.1937306
75780,0.6301177740097046,0.7212009554052767,0.795125,1.1890702,1.0027559,0.96198,-65.16733
76007,0.8797199130058289,0.8157517869258702,0.95039535,0.9642598,1.1738086,0.42388946,21.106937
76008,0.9118278473615646,0.8131586830803077,0.9633931,1.0964006,1.1558093,0.36413482,11.440859
76075,0.8178784251213074,0.7931534287538071,0.90694505,1.1759124,1.0564014,0.5543774,-17.839308
76076,0.7314743399620056,0.47811435588472484,0.88243335,1.437504,1.2591002,1.0572257,-23.39917
76089,0.9217960759997368,0.9324792058872923,0.96476996,0.9443744,1.0149564,0.74278563,10.404946
76099,0.8601022362709045,0.8218930469476542,0.95515794,0.8546472,0.90735096,0.8494991,-16.724113
76112,0.9247184544801712,0.9111294209384025,0.96871245,0.9236506,0.96698725,0.56186295,-3.4326386
76130,0.904909722507,0.9308706446786134,0.956423,0.94760245,1.0115935,0.9870914,-3.4735088
76139,0.7110902070999146,0.7734597199785884,0.8556317,1.0825247,0.846156,0.60104614,-44.441948
76141,0.7693140059709549,0.7945734220831989,0.879134,1.148178,1.0750651,0.5295763,-6.561209
76145,0.5805283784866333,0.03046966911591864,0.8280554,1.8990109,1.3196929,1.3164911,-32.072887
76159,0.7369945645332336,0.8340952085172071,0.8657985,1.0457746,1.0861338,0.50489414,2.6530569
76165,0.6287882030010223,0.7193538180774592,0.8745324,0.84423465,0.8031312,0.31016767,-57.394375
76176,0.790854886174202,0.6832544544500816,0.89935696,1.2929757,1.0660604,0.26833346,-14.3661175
76180,0.8979604318737984,0.8649962652351122,0.94962186,1.119935,0.96389407,0.27763575,-19.501106
76190,0.8529807329177856,0.8073879157835497,0.9538988,0.8489165,0.88978267,0.58030593,-28.5383
76217,0.8336051255464554,0.7021671601521916,0.9246821,1.1359851,1.2540466,0.6753726,15.436544
76243,0.6228803098201752,0.09299864843761507,0.86103904,1.6418476,1.6255981,1.5886701,-34.115704
76253,0.6467602252960205,0.7528493305734154,0.8896902,0.7961014,0.9143229,0.34803456,-6.1545606
76255,0.2968575358390808,0.6412904506370196,0.7013065,0.9313289,1.1863841,0.36582592,13.838069
76256,0.7804691344499588,0.7383032196786815,0.91156346,0.9510425,1.2413863,0.4200749,29.552933
76264,-0.003098011016845703,0.5494642704828075,0.80632603,0.6251298,0.84205955,0.69684184,-15.959486
76270,0.869353175163269,0.8243714142395924,0.935675,1.152792,0.9420146,0.3091533,-69.533905
76275,0.791338637471199,0.7897460783171388,0.90702814,0.97930014,0.8125581,0.37183842,-78.85872
76284,0.7317424416542053,0.8327921839544996,0.8584223,1.081905,0.96527576,0.27478546,-3.3954332
76317,-1.3407700061798096,0.34839539277581033,0.8692762,0.44868535,0.678205,0.34110132,-29.053684
76318,0.7932459712028503,0.7475045337878194,0.8942181,1.2167487,0.9252729,1.1089445,-129.71654
76321,0.7098692655563354,0.834642253075377,0.86001915,0.9763996,1.0848031,0.21516599,5.0470347
76324,0.7035065591335297,0.6130002255404547,0.8818353,1.0155905,0.6318114,0.24475046,-123.24548
76325,0.9161240309476852,0.8033965873507445,0.965502,1.1908726,0.9678992,0.4060116,-44.62961
76345,0.18279987573623657,0.5195560496665111,0.8052657,0.7160158,1.3350492,1.4360791,28.733658
76355,-0.3599121570587158,0.42177360131383634,0.8101151,0.5859489,0.6438383,0.2393527,-50.618893
76360,0.7825580686330795,0.7951272752595576,0.8897702,1.1000009,1.1407908,0.3670615,-2.6605895
76363,0.7734745889902115,0.7162470545567461,0.8893099,1.1806914,1.1887169,0.4414267,7.3537383
76364,0.7891486287117004,0.8238564404761446,0.89782405,1.0427804,0.86304575,0.3775475,-28.523983
76367,0.745617538690567,0.8025565370329033,0.87271756,1.0842391,1.1252472,0.34619856,9.335452
76406,0.12970507144927979,-0.164938748648092,0.5685157,1.4882382,1.9656744,1.0074008,10.306166
76408,0.4581025242805481,0.708604707672822,0.7146812,1.0591398,1.0026233,0.539039,-12.498938
76416,0.7538125216960907,0.8283471054212843,0.90010726,0.89312935,0.91019565,0.3426496,-8.4449
76417,0.774289682507515,0.8791269418185393,0.89582646,0.940789,0.9841184,0.27538282,-3.979413
76421,0.6140341460704803,0.5754885364437453,0.801732,1.2927979,1.2348812,0.7190871,-3.3644009
76423,0.7351828515529633,0.5542145065226054,0.8750514,1.4279003,0.99627584,1.0082011,-75.54428
76454,0.5195497572422028,0.5288328477986568,0.87582266,0.8333104,1.4228393,0.60055596,37.99146
76456,0.0022423863410949707,0.5558039161422696,0.8687937,0.5761818,0.9782461,0.47416478,8.776908
76461,0.5519455671310425,0.6878900402676902,0.8362491,0.8551819,1.2227689,0.6290002,19.347542
76462,0.6743575036525726,0.8379381787462432,0.8472566,0.9474719,1.0132018,0.46525955,-1.181972
76466,0.6982080042362213,0.545469180382689,0.85928744,1.374463,1.2158141,0.5407255,6.160852
76470,0.4835311770439148,0.7213775937395841,0.73071396,1.0519942,0.9508871,0.8612623,-55.474613
76483,0.5882055163383484,0.7897412760761006,0.809292,0.9434936,0.9318368,0.1916522,-23.08429
76486,-0.6585495471954346,0.46697429509608823,0.82396954,0.5097696,0.8868459,0.16736057,-2.6727843
76489,0.44443315267562866,0.5684591371667199,0.72274995,1.1408883,0.7008171,0.27192158,-87.24144
76490,-3.3946542739868164,0.2612779910440166,0.84107256,0.3687167,0.65081,0.25213376,-44.515602
76494,0.65257328748703,0.7460069660911416,0.85684854,0.9567083,0.7947052,0.5188542,-49.006603
