2025-10-19 15:12:27 | INFO     | PhDLogger | gr4j_simple | ✓ 75389/e5: KGE=0.353, NSE=-0.276
2025-10-19 15:12:28 | INFO     | PhDLogger | gr4j_simple | ✓ 78055/mswep: KGE=0.090, NSE=-0.909
2025-10-19 15:12:31 | INFO     | PhDLogger | gr4j_simple | ✓ 75547/mswep: KGE=0.159, NSE=-1.895
2025-10-19 15:12:33 | INFO     | PhDLogger | gr4j_simple | ✓ 10394/e5: KGE=0.527, NSE=0.267
2025-10-19 15:12:36 | INFO     | PhDLogger | gr4j_simple | ✓ 48089/e5: KGE=0.532, NSE=0.252
2025-10-19 15:12:37 | INFO     | PhDLogger | gr4j_simple | ✓ 10416/e5: KGE=0.655, NSE=0.715
2025-10-19 15:12:46 | INFO     | PhDLogger | gr4j_simple | ✓ 70486/e5l: KGE=0.767, NSE=0.659
2025-10-19 15:12:50 | INFO     | PhDLogger | gr4j_simple | ✓ 80592/mswep: KGE=0.294, NSE=0.085
2025-10-19 15:12:53 | INFO     | PhDLogger | gr4j_simple | ✓ 3085/e5: KGE=0.765, NSE=0.651
2025-10-19 15:12:55 | INFO     | PhDLogger | gr4j_simple | ✓ 72625/e5: KGE=0.748, NSE=0.498
2025-10-19 15:13:07 | INFO     | PhDLogger | gr4j_simple | ✓ 11620/gpcp: KGE=0.294, NSE=0.268
2025-10-19 15:13:15 | INFO     | PhDLogger | gr4j_simple | ✓ 77166/mswep: KGE=0.223, NSE=-0.220
2025-10-19 15:13:16 | INFO     | PhDLogger | gr4j_simple | ✓ 75687/e5l: KGE=0.581, NSE=0.624
2025-10-19 15:13:20 | INFO     | PhDLogger | gr4j_simple | ✓ 72064/mswep: KGE=0.471, NSE=0.415
2025-10-19 15:13:31 | INFO     | PhDLogger | gr4j_simple | ✓ 75427/mswep: KGE=0.393, NSE=0.120
2025-10-19 15:13:33 | INFO     | PhDLogger | gr4j_simple | ✓ 49125/e5l: KGE=0.729, NSE=0.657
2025-10-19 15:13:33 | INFO     | PhDLogger | gr4j_simple | ✓ 78160/e5l: KGE=-4.513, NSE=-35.803
2025-10-19 15:13:39 | INFO     | PhDLogger | gr4j_simple | ✓ 3001/e5: KGE=0.637, NSE=0.360
2025-10-19 15:13:53 | INFO     | PhDLogger | gr4j_simple | ✓ 7011/e5l: KGE=0.704, NSE=0.611
2025-10-19 15:13:56 | INFO     | PhDLogger | gr4j_simple | ✓ 70486/gpcp: KGE=0.212, NSE=0.409
2025-10-19 15:13:59 | INFO     | PhDLogger | gr4j_simple | ✓ 75389/mswep: KGE=0.614, NSE=0.260
2025-10-19 15:14:01 | INFO     | PhDLogger | gr4j_simple | ✓ 10394/mswep: KGE=0.462, NSE=-0.066
2025-10-19 15:14:11 | INFO     | PhDLogger | gr4j_simple | ✓ 10416/mswep: KGE=0.913, NSE=0.917
2025-10-19 15:14:21 | INFO     | PhDLogger | gr4j_simple | ✓ 9189/e5l: KGE=0.223, NSE=0.217
2025-10-19 15:14:24 | INFO     | PhDLogger | gr4j_simple | ✓ 48089/mswep: KGE=0.645, NSE=0.369
2025-10-19 15:14:28 | INFO     | PhDLogger | gr4j_simple | ✓ 10641/e5: KGE=0.806, NSE=0.687
2025-10-19 15:14:42 | INFO     | PhDLogger | gr4j_simple | ✓ 72625/mswep: KGE=0.293, NSE=0.109
2025-10-19 15:14:48 | INFO     | PhDLogger | gr4j_simple | ✓ 8306/e5l: KGE=0.586, NSE=0.715
2025-10-19 15:14:48 | INFO     | PhDLogger | gr4j_simple | ✓ 75687/gpcp: KGE=0.357, NSE=0.400
2025-10-19 15:14:48 | INFO     | PhDLogger | gr4j_simple | ✓ 11620/e5: KGE=0.455, NSE=0.426
2025-10-19 15:14:49 | INFO     | PhDLogger | gr4j_simple | ✓ 49125/gpcp: KGE=0.376, NSE=0.392
2025-10-19 15:14:53 | INFO     | PhDLogger | gr4j_simple | ✓ 80113/e5l: KGE=0.045, NSE=-0.064
2025-10-19 15:14:53 | INFO     | PhDLogger | gr4j_simple | ✓ 3001/mswep: KGE=0.511, NSE=0.532
2025-10-19 15:15:02 | INFO     | PhDLogger | gr4j_simple | ✓ 75259/e5l: KGE=0.535, NSE=0.372
2025-10-19 15:15:03 | INFO     | PhDLogger | gr4j_simple | ✓ 78160/gpcp: KGE=-4.857, NSE=-40.695
