"Платформа: идентификатор локальный","Платформа: название","Широта точки (град., дес.доли град)","Долгота точки (град., дес.доли град)","Дата и время","Уровень воды над нулем поста","Уровень воды: аномалия","Уровень воды: среднее","Температура воды","Температура воздуха","Лед (припай): толщина","Осадки: количество  (код)","Осадки: длительность выпадения  (код)","Снег: высота","Дата","Организация: вид деятельности","Платформа: тип","Организация: идентификатор локальный","Организация: название","Геообъект: код","Геообъект: название","Geometry (точка, поверхность, сетка)","Единица данных::номер"
"75692","ТИМАРИХА","57.53","44.78","2023-02-20 08:00:00","48.0","1.0","","","","","","","","2023-02-20 03:00:00.0","53","ГП","17","ВЕРХНЕ-ВОЛЖСКОЕ УГМС","110004273","Р.ЛAПШAHГA","","2116"
"78141","ПОВОРИНО","51.23","42.25","2023-02-24 08:00:00","-41.0","-1.0","","0.2","-14.0","","","","","2023-02-24 04:00:00.0","53","ГП","37","ЦЕНТРАЛЬНО-ЧЕРНОЗЕМНОЕ УГМС","107000518","Р.XOПEP","","2117"
"70275","ФИЛЯЕВСКАЯ","61.11","42.18","2023-02-21 08:00:00","198.0","-1.0","","","","","","","","2023-02-25 04:00:00.0","53","ГП","32","СЕВЕРНОЕ УГМС","103002816","P.BAГA","","2118"
"70275","ФИЛЯЕВСКАЯ","61.11","42.18","2023-02-22 08:00:00","197.0","-1.0","","","","","","","","2023-02-25 04:00:00.0","53","ГП","32","СЕВЕРНОЕ УГМС","103002816","P.BAГA","","2119"
"70275","ФИЛЯЕВСКАЯ","61.11","42.18","2023-02-23 08:00:00","197.0","0.0","","","","","","","","2023-02-25 04:00:00.0","53","ГП","32","СЕВЕРНОЕ УГМС","103002816","P.BAГA","","2120"
"70275","ФИЛЯЕВСКАЯ","61.11","42.18","2023-02-24 08:00:00","197.0","0.0","","","","","","","","2023-02-25 04:00:00.0","53","ГП","32","СЕВЕРНОЕ УГМС","103002816","P.BAГA","","2121"
"70275","ФИЛЯЕВСКАЯ","61.11","42.18","2023-02-25 08:00:00","197.0","0.0","","","","","","","","2023-02-25 04:00:00.0","53","ГП","32","СЕВЕРНОЕ УГМС","103002816","P.BAГA","","2122"
"70275","ФИЛЯЕВСКАЯ","61.11","42.18","2023-02-25 08:00:00","","","","","","","","","","2023-02-25 04:00:00.0","53","ГП","32","СЕВЕРНОЕ УГМС","103002816","P.BAГA","","2123"
"70275","ФИЛЯЕВСКАЯ","61.11","42.18","2023-02-19 08:00:00","199.0","1.0","","","","","","","","2023-02-20 04:00:00.0","53","ГП","32","СЕВЕРНОЕ УГМС","103002816","P.BAГA","","2124"
"70275","ФИЛЯЕВСКАЯ","61.11","42.18","2023-02-20 08:00:00","199.0","0.0","","","","43","","","3","2023-02-20 04:00:00.0","53","ГП","32","СЕВЕРНОЕ УГМС","103002816","P.BAГA","","2125"
"70275","ФИЛЯЕВСКАЯ","61.11","42.18","2023-02-20 08:00:00","","","","","","","","","","2023-02-20 04:00:00.0","53","ГП","32","СЕВЕРНОЕ УГМС","103002816","P.BAГA","","2126"
"75273","МАЛОБЕРЕЗОВО","57.71","42.25","2023-02-21 08:00:00","9.0","-1.0","9.0","","","","1","","","2023-02-21 06:00:00.0","53","ГП","42","ЦЕНТРАЛЬНОЕ УГМС","110001362","Р.MЕРА","","2127"
"75273","МАЛОБЕРЕЗОВО","57.71","42.25","2023-02-20 08:00:00","10.0","0.0","10.0","","","16","0","0","5","2023-02-20 06:00:00.0","53","ГП","42","ЦЕНТРАЛЬНОЕ УГМС","110001362","Р.MЕРА","","2128"
"75273","МАЛОБЕРЕЗОВО","57.71","42.25","2023-02-19 08:00:00","10.0","1.0","9.0","","","","99","","","2023-02-19 06:00:00.0","53","ГП","42","ЦЕНТРАЛЬНОЕ УГМС","110001362","Р.MЕРА","","2129"
"75275","ПОКРОВСКОЕ","57.63","42.15","2023-02-25 08:00:00","126.0","0.0","126.0","","","","999","1","","2023-02-25 06:00:00.0","53","ГП","42","ЦЕНТРАЛЬНОЕ УГМС","110001373","Р.CEHДEГA","","2130"
"75275","ПОКРОВСКОЕ","57.63","42.15","2023-02-24 08:00:00","126.0","-4.0","128.0","","","","0","0","","2023-02-24 06:00:00.0","53","ГП","42","ЦЕНТРАЛЬНОЕ УГМС","110001373","Р.CEHДEГA","","2131"
