scripts.loaders 2023-10-28 04:47:45,722 INFO Nc aggregation for tmax_2m ..
scripts.loaders 2023-10-28 04:47:48,838 INFO Nc aggregation for tmax_2m has been finished

scripts.loaders 2023-10-28 04:47:48,838 INFO Nc aggregation for tmax_2m has been finished

scripts.loaders 2023-10-28 04:47:48,838 INFO Nc aggregation for tmax_2m has been finished

scripts.loaders 2023-10-28 04:47:48,839 INFO Nc aggregation for tmin_2m ..
scripts.loaders 2023-10-28 04:47:48,839 INFO Nc aggregation for tmin_2m ..
scripts.loaders 2023-10-28 04:47:48,839 INFO Nc aggregation for tmin_2m ..
scripts.loaders 2023-10-28 04:47:52,160 INFO Nc aggregation for tmin_2m has been finished

scripts.loaders 2023-10-28 04:47:52,160 INFO Nc aggregation for tmin_2m has been finished

scripts.loaders 2023-10-28 04:47:52,160 INFO Nc aggregation for tmin_2m has been finished

scripts.loaders 2023-10-28 04:47:52,161 INFO Nc aggregation for tot_prec ..
scripts.loaders 2023-10-28 04:47:52,161 INFO Nc aggregation for tot_prec ..
scripts.loaders 2023-10-28 04:47:52,161 INFO Nc aggregation for tot_prec ..
scripts.loaders 2023-10-28 04:47:54,928 INFO Nc aggregation for tot_prec has been finished

scripts.loaders 2023-10-28 04:47:54,928 INFO Nc aggregation for tot_prec has been finished

scripts.loaders 2023-10-28 04:47:54,928 INFO Nc aggregation for tot_prec has been finished

scripts.loaders 2023-10-28 04:47:54,929 INFO Nc aggregation for alb_rad ..
scripts.loaders 2023-10-28 04:47:54,929 INFO Nc aggregation for alb_rad ..
scripts.loaders 2023-10-28 04:47:54,929 INFO Nc aggregation for alb_rad ..
scripts.loaders 2023-10-28 04:47:58,093 INFO Nc aggregation for alb_rad has been finished

scripts.loaders 2023-10-28 04:47:58,093 INFO Nc aggregation for alb_rad has been finished

scripts.loaders 2023-10-28 04:47:58,093 INFO Nc aggregation for alb_rad has been finished

scripts.loaders 2023-10-28 04:47:59,903 INFO 
###########################################################
###########################################################

Data for 20231028 downloaded

###########################################################
###########################################################

scripts.loaders 2023-10-28 04:47:59,903 INFO 
###########################################################
###########################################################

Data for 20231028 downloaded

###########################################################
###########################################################

scripts.loaders 2023-10-28 04:47:59,903 INFO 
###########################################################
###########################################################

Data for 20231028 downloaded

###########################################################
###########################################################

