gauge_id,NSE,day,static,encoder,decoder
10042,0.9423726246130246,4,kar_pc_sse,t_max_e5l,t_max_e5l
3201,0.5957936867499366,43,urb_pc_sse,prcp_e5l,t_min_e5l
70158,0.7289330266510075,7,slt_pc_sav,t_max_e5l,prcp_e5l
72721,0.7822808982753876,95,sgr_dk_sav,q_mm_day,t_max_e5l
48006,0.9116025136957101,89,rev_mc_usu,q_mm_day,t_min_e5l
78394,0.97077726644704,2,for_pc_sse,q_mm_day,t_max_e5l
77189,0.7243845603048478,277,lka_pc_use,q_mm_day,t_max_e5l
10632,0.430588280948653,1,lkv_mc_usu,q_mm_day,t_max_e5l
5277,0.814122120394323,1,slp_dg_sav,q_mm_day,prcp_e5l
76690,0.63342366044073,1,prm_pc_sse,q_mm_day,t_max_e5l
48099,0.7904662496328282,1,ele_mt_sav,q_mm_day,t_min_e5l
10587,0.7275337407169202,152,lkv_mc_usu,prcp_e5l,t_min_e5l
9383,0.6946204273464123,1,for_pc_sse,q_mm_day,t_min_e5l
11337,0.9458052568050277,1,pst_pc_sse,q_mm_day,prcp_e5l
75266,0.523612353301135,1,urb_pc_sse,q_mm_day,t_max_e5l
75394,0.5293638989029557,1,crp_pc_sse,q_mm_day,t_min_e5l
77130,0.33012143485166645,233,lka_pc_use,prcp_e5l,prcp_e5l
75518,0.3117284239082141,61,cly_pc_sav,prcp_e5l,t_min_e5l
10430,0.5729919947929092,1,cly_pc_sav,q_mm_day,prcp_e5l
75209,0.9024028135588623,1,ele_mt_sav,q_mm_day,prcp_e5l
75573,0.3057458362018234,5,kar_pc_sse,t_max_e5l,t_max_e5l
10194,0.1819493803122424,9,urb_pc_sse,q_mm_day,t_max_e5l
10216,0.8639606069564043,1,ire_pc_sse,t_max_e5l,prcp_e5l
48079,0.8842060308989318,31,urb_pc_sse,q_mm_day,prcp_e5l
72144,0.7860356480974665,1,ws_area,q_mm_day,t_max_e5l
8356,0.711990343934884,3,cly_pc_sav,t_max_e5l,t_min_e5l
9323,0.8430307353838795,1,kar_pc_sse,t_max_e5l,t_max_e5l
8291,0.7021069293163018,139,prm_pc_sse,q_mm_day,t_min_e5l
5135,0.8298196364321796,365,lka_pc_use,q_mm_day,t_max_e5l
6414,0.6868886470329378,89,for_pc_sse,prcp_e5l,prcp_e5l
77292,0.322650944332986,221,ire_pc_sse,q_mm_day,prcp_e5l
12430,0.7121383369982384,1,lkv_mc_usu,q_mm_day,t_min_e5l
74438,0.8676946364511893,334,inu_pc_ult,t_max_e5l,t_min_e5l
2058,0.944409645075917,154,ele_mt_sav,prcp_e5l,prcp_e5l
78165,0.8770247352939848,1,for_pc_sse,q_mm_day,t_min_e5l
75453,0.12252887614236374,1,cly_pc_sav,q_mm_day,t_max_e5l
77152,0.18492501245059512,176,lkv_mc_usu,t_min_e5l,t_min_e5l
5328,0.6044750991700141,184,lkv_mc_usu,q_mm_day,t_max_e5l
70378,0.770365974470471,282,urb_pc_sse,q_mm_day,t_min_e5l
76007,0.8031863342642478,149,ire_pc_sse,prcp_e5l,t_max_e5l
10177,0.7964283811482751,45,slt_pc_sav,t_max_e5l,prcp_e5l
6349,0.5608343097806017,2,kar_pc_sse,prcp_e5l,t_min_e5l
70213,0.7458492096133358,310,ele_mt_sav,q_mm_day,t_min_e5l
19118,0.2779397933181006,269,lkv_mc_usu,q_mm_day,t_min_e5l
72559,0.8837985139625267,355,kar_pc_sse,q_mm_day,t_min_e5l
76423,0.7567149109034961,225,ire_pc_sse,q_mm_day,t_min_e5l
9404,0.8634103186547835,1,crp_pc_sse,q_mm_day,t_max_e5l
9341,0.7714987095390017,165,sgr_dk_sav,q_mm_day,t_max_e5l
3159,0.8452083563749713,96,prm_pc_sse,t_max_e5l,t_max_e5l
84011,0.5596729351999342,3,slt_pc_sav,t_max_e5l,t_max_e5l
76649,0.6908994918699425,330,lkv_mc_usu,t_max_e5l,t_max_e5l
