gauge_id,NSE,day,encoder,decoder
8288,0.6493945609536191,361,q_mm_day,prcp_e5l
2010,0.8462465212877565,1,q_mm_day,prcp_e5l
76673,0.7110646075119516,363,q_mm_day,prcp_e5l
6407,0.531399739605445,1,q_mm_day,prcp_e5l
71277,0.6137701856451705,364,q_mm_day,prcp_e5l
70583,0.7120212432380736,365,q_mm_day,prcp_e5l
11370,0.8652415215379963,365,q_mm_day,prcp_e5l
49128,0.7380582207693012,357,q_mm_day,prcp_e5l
11487,0.6429822378311045,362,q_mm_day,prcp_e5l
75297,0.8385267059756146,1,q_mm_day,prcp_e5l
10701,0.7240420618441856,1,q_mm_day,prcp_e5l
9216,0.8420659757409442,1,q_mm_day,prcp_e5l
5453,-5010.852290192283,1,q_mm_day,prcp_e5l
76099,0.7937821315782629,364,q_mm_day,prcp_e5l
83350,0.756992438870558,1,q_mm_day,prcp_e5l
12305,0.8269746682927279,365,q_mm_day,prcp_e5l
5250,-226.39175619594428,37,q_mm_day,prcp_e5l
7020,-4006.875860351447,365,q_mm_day,prcp_e5l
3003,0.8706902830835431,365,q_mm_day,prcp_e5l
77250,0.8915876038460316,1,q_mm_day,prcp_e5l
2106,0.8087642651763747,1,q_mm_day,prcp_e5l
6424,0.7254639118520501,365,q_mm_day,prcp_e5l
3073,0.552983215644844,363,q_mm_day,prcp_e5l
5736,0.7584835920619151,364,q_mm_day,prcp_e5l
77397,0.46538264513383143,337,q_mm_day,prcp_e5l
76417,0.7989897640334871,362,q_mm_day,prcp_e5l
5311,-9341.74708643224,364,q_mm_day,prcp_e5l
5292,0.6932145920875795,1,q_mm_day,prcp_e5l
75780,0.6651242313273632,1,q_mm_day,prcp_e5l
70589,0.561724165278985,1,q_mm_day,prcp_e5l
70566,0.7576429103352389,364,q_mm_day,prcp_e5l
6345,0.39527475939135603,364,q_mm_day,prcp_e5l
77146,0.7537272621146192,1,q_mm_day,prcp_e5l
10198,0.6782696636772785,1,q_mm_day,prcp_e5l
9345,0.6763228590483739,365,q_mm_day,prcp_e5l
80405,0.8167012504136627,3,q_mm_day,prcp_e5l
3234,0.5793044780762258,1,q_mm_day,prcp_e5l
8410,0.7389146235725101,1,q_mm_day,prcp_e5l
6443,0.6629950776944069,365,q_mm_day,prcp_e5l
7076,-10983.024507738168,365,q_mm_day,prcp_e5l
77329,0.8618070341759265,1,q_mm_day,prcp_e5l
10394,0.8418636102840495,1,q_mm_day,prcp_e5l
10416,0.7707717667196736,1,q_mm_day,prcp_e5l
10240,0.8152870491361944,362,q_mm_day,prcp_e5l
75491,0.8700841288372537,1,q_mm_day,prcp_e5l
76159,0.8063762933026923,364,q_mm_day,prcp_e5l
10221,0.6591235401249327,2,q_mm_day,prcp_e5l
4027,0.8211105320316155,1,q_mm_day,prcp_e5l
83260,0.76245131870981,1,q_mm_day,prcp_e5l
77336,0.7367584374946979,1,q_mm_day,prcp_e5l
8254,0.7541567223539108,362,q_mm_day,prcp_e5l
