gauge_id,NSE
11412,-0.1165265695108885
8249,0.4474386568961482
84243,0.7318283440925093
71086,0.632736978852114
10701,0.2485830660138576
77124,0.2753994252836946
4179,0.4778578931877045
8256,0.5641844565360623
75749,0.3890953296643195
4027,-0.0581761986061808
19159,0.4741615335945903
70512,0.484838265744543
72110,0.3218588024539519
11415,-0.307516767979191
3310,0.6062247045998004
11487,0.5395060559710105
9372,0.4420430890693236
9344,-0.0754418820688547
9166,0.6315240296613167
12476,0.6571560902439166
80424,0.1499641844433311
80160,-0.2680382920558002
4105,0.55319057731514
76180,0.7236029623096654
70118,0.5107943930387815
5122,0.5383049915922005
75202,0.355167128539221
78231,0.1968189278743798
75273,0.2925057037339309
7036,-0.0798673222019246
10177,0.4179719020162684
84019,-1.5022185336362104
12202,-0.9189821064974456
7053,0.6846387462389649
3068,0.2759014125797545
