"Платформа: идентификатор локальный","Платформа: название","Широта точки (град., дес.доли град)","Долгота точки (град., дес.доли град)","Дата и время","Уровень воды над нулем поста","Уровень воды: аномалия","Уровень воды: среднее","Температура воды","Температура воздуха","Лед (припай): толщина","Осадки: количество  (код)","Осадки: длительность выпадения  (код)","Снег: высота","Дата","Организация: вид деятельности","Платформа: тип","Организация: идентификатор локальный","Организация: название","Геообъект: код","Геообъект: название","Geometry (точка, поверхность, сетка)","Единица данных::номер"
"37016","БАЛАКОВО","52.06","47.75","2023-02-26 08:00:00","318.0","16.0","","","","","","","","2023-02-26 04:00:00.0","","","","","","","","3420"
"37016","БАЛАКОВО","52.06","47.75","2023-02-24 08:00:00","313.0","18.0","","","","","","","","2023-02-24 04:00:00.0","","","","","","","","3421"
"37016","БАЛАКОВО","52.06","47.75","2023-02-25 08:00:00","302.0","-11.0","","","","","","","","2023-02-25 04:00:00.0","","","","","","","","3422"
"76011","ТЮЛЬКИНО","59.83","56.51","2023-02-27 08:00:00","114.0","0.0","114.0","","","","","","","2023-02-27 03:00:00.0","53","ГП","36","УРАЛЬСКОЕ УГМС","111100001","Р.КАМА","","3423"
"76011","ТЮЛЬКИНО","59.83","56.51","2023-02-26 08:00:00","114.0","0.0","114.0","","","","","","","2023-02-26 03:00:00.0","53","ГП","36","УРАЛЬСКОЕ УГМС","111100001","Р.КАМА","","3424"
"76011","ТЮЛЬКИНО","59.83","56.51","2023-02-24 08:00:00","114.0","0.0","114.0","","","","","","","2023-02-24 03:00:00.0","53","ГП","36","УРАЛЬСКОЕ УГМС","111100001","Р.КАМА","","3425"
"76011","ТЮЛЬКИНО","59.83","56.51","2023-02-24 08:00:00","114.0","0.0","114.0","","","","","","","2023-02-23 03:00:00.0","53","ГП","36","УРАЛЬСКОЕ УГМС","111100001","Р.КАМА","","3426"
"76011","ТЮЛЬКИНО","59.83","56.51","2023-02-23 08:00:00","114.0","0.0","114.0","","","","","","","2023-02-24 03:00:00.0","53","ГП","36","УРАЛЬСКОЕ УГМС","111100001","Р.КАМА","","3427"
"76011","ТЮЛЬКИНО","59.83","56.51","2023-02-25 08:00:00","114.0","0.0","114.0","","","","","","","2023-02-25 03:00:00.0","53","ГП","36","УРАЛЬСКОЕ УГМС","111100001","Р.КАМА","","3428"
"76011","ТЮЛЬКИНО","59.83","56.51","2023-02-23 08:00:00","114.0","0.0","114.0","","","","","","","2023-02-23 03:00:00.0","53","ГП","36","УРАЛЬСКОЕ УГМС","111100001","Р.КАМА","","3429"
